x_value,total_1,total_2
0,1000,1000
46,1024,1080
1,1008,1004
47,1028,1085
2,1016,1004
48,1035,1087
3,1011,1002
49,1031,1084
4,1009,1002
50,1036,1086
5,1013,1001
51,1034,1083
6,1013,999
52,1036,1089
7,1018,1004
53,1039,1084
8,1018,1004
54,1039,1088
9,1012,1006
55,1039,1088
10,1006,1007
56,1047,1089
11,1012,1011
57,1048,1087
12,1019,1009
58,1056,1092
13,1018,1006
59,1056,1092
14,1013,1009
60,1061,1092
15,1016,1006
61,1062,1093
16,1017,1002
62,1061,1091
17,1024,1004
63,1063,1096
18,1023,1008
64,1061,1095
19,1020,1013
65,1063,1093
20,1023,1008
66,1057,1096
21,1023,1009
67,1055,1101
22,1025,1010
68,1056,1096
23,1023,1016
69,1056,1096
24,1029,1012
70,1051,1092
25,1032,1012
71,1059,1089
26,1033,1012
72,1059,1093
27,1038,1009
73,1064,1093
28,1046,1007
74,1068,1099
29,1047,1013
75,1069,1104
30,1053,1014
76,1074,1101
31,1058,1014
77,1077,1103
32,1060,1016
78,1073,1099
33,1064,1015
79,1067,1105
34,1061,1021
80,1064,1108
35,1056,1024
81,1062,1104
36,1063,1021
82,1069,1101
37,1061,1019
83,1063,1104
38,1061,1017
84,1068,1106
39,1062,1022
85,1065,1110
40,1064,1026
86,1061,1107
41,1062,1025
87,1057,1105
42,1069,1029
88,1058,1109
43,1067,1027
89,1052,1111
44,1071,1025
90,1059,1114
45,1071,1022
91,1053,1119
46,1066,1018
92,1050,1125
47,1062,1019
93,1057,1123
48,1061,1020
94,1057,1129
49,1065,1022
95,1064,1130
50,1062,1017
96,1068,1128
51,1058,1014
97,1069,1133
52,1065,1012
98,1073,1135
53,1068,1007
99,1081,1141
54,1074,1013
100,1076,1138
55,1069,1018
101,1070,1140
56,1074,1020
102,1071,1137
57,1082,1017
103,1071,1133
58,1089,1019
104,1065,1132
59,1097,1020
105,1067,1134
106,1071,1133
107,1077,1134
60,1102,1022
108,1084,1133
61,1102,1027
109,1089,1135
110,1088,1139
111,1095,1142
112,1098,1141
113,1098,1141
114,1097,1137
115,1099,1136
116,1102,1135
117,1100,1140
118,1105,1146
119,1108,1144
120,1108,1145
121,1115,1151
122,1121,1149
123,1117,1153
124,1122,1156
125,1127,1154
126,1121,1151
127,1126,1154
128,1125,1157
129,1120,1155
130,1124,1152
131,1122,1154
132,1117,1155
133,1112,1151
134,1118,1156
135,1125,1152
136,1129,1157
137,1137,1161
138,1140,1156
139,1139,1160
140,1144,1156
141,1143,1156
142,1142,1161
143,1140,1159
144,1134,1161
145,1132,1159
146,1127,1158
147,1122,1155
148,1118,1158
149,1125,1160
150,1121,1161
151,1129,1157
152,1128,1161
153,1124,1164
154,1123,1161
155,1121,1156
156,1124,1162
157,1126,1157
158,1128,1154
159,1131,1152
160,1128,1154
161,1130,1154
162,1129,1150
163,1126,1150
164,1130,1150
165,1133,1155
166,1140,1157
167,1142,1154
168,1137,1157
169,1141,1157
170,1144,1153
171,1143,1156
172,1143,1154
173,1149,1153
174,1145,1159
175,1149,1163
176,1155,1158
177,1149,1164
178,1156,1163
179,1162,1159
180,1159,1154
181,1167,1149
182,1167,1149
183,1166,1144
184,1165,1141
185,1162,1141
186,1161,1136
187,1166,1141
188,1162,1140
189,1160,1143
190,1163,1138
191,1170,1137
192,1177,1134
